customer_id,customer_name,region,contract_type,service_type,churned
C00001,Henry Williams,Central,Monthly,Electricity + Water,1
C00002,Adrian Anderson,North,Monthly,Electricity + Water,0
C00003,Mia Smith,North,2-Year,Water,0
C00004,Iris Clark,Central,Annual,Electricity + Water,1
C00005,Alice Jones,South,Monthly,Electricity + Gas,1
C00006,Carol Clark,Central,Annual,Electricity + Water,0
C00007,Noah Johnson,North,Monthly,Electricity,1
C00008,Rachel Jones,South,Annual,Electricity,0
C00009,Olivia Jones,North,2-Year,Water,0
C00010,Iris White,South,Annual,Electricity + Water,0
C00011,Fiona Anderson,West,Monthly,Gas,0
C00012,Iris Brown,South,Monthly,Electricity + Gas,1
C00013,Paul Anderson,West,Annual,Electricity,0
C00014,Mia Johnson,Central,Annual,Electricity + Gas,0
C00015,Iris Martin,West,2-Year,Electricity + Water,0
C00016,Frank Jackson,North,Monthly,Gas,0
C00017,Victor Johnson,Central,Monthly,Electricity + Gas,0
C00018,Adrian Wilson,North,Annual,Electricity,0
C00019,Zach Miller,West,Annual,Gas,0
C00020,Alice Johnson,West,Annual,Electricity,0
C00021,Wendy Lewis,West,Annual,Gas,0
C00022,Olivia White,North,Annual,Electricity,0
C00023,Diana White,Central,Monthly,Electricity,1
C00024,Wendy Thomas,North,Monthly,Gas,0
C00025,Grace Lewis,Central,2-Year,Electricity,0
C00026,Olivia Jones,West,Annual,Electricity + Water,1
C00027,Emma Smith,North,Annual,Electricity,0
C00028,Karen Lewis,East,Annual,Water,0
C00029,Frank Jackson,North,Monthly,Electricity + Gas,0
C00030,Emma Harris,South,Annual,Electricity,0
C00031,Tina Thomas,South,2-Year,Electricity,0
C00032,Carol Garcia,North,Monthly,Electricity + Water,0
C00033,Noah Brown,East,Monthly,Electricity + Water,1
C00034,Bob Wilson,North,Monthly,Electricity + Gas,0
C00035,Paul Thompson,South,Monthly,Electricity,1
C00036,Rachel Williams,Central,Annual,Gas,0
C00037,Yara Thomas,South,Annual,Gas,0
C00038,Karen Jones,Central,Monthly,Electricity + Gas,0
C00039,Frank Miller,North,Annual,Gas,0
C00040,Henry Jackson,South,2-Year,Electricity,0
C00041,Fiona Smith,West,Annual,Gas,0
C00042,David Anderson,Central,Annual,Electricity + Gas,1
C00043,Zach Thompson,East,Monthly,Water,1
C00044,Xander Jackson,Central,Annual,Gas,0
C00045,Zach White,East,Monthly,Electricity,0
C00046,Carol Thomas,Central,Annual,Water,0
C00047,Olivia Thomas,East,Monthly,Electricity + Water,1
C00048,James Williams,Central,Annual,Water,0
C00049,Zach Anderson,North,2-Year,Gas,0
C00050,Xander Johnson,Central,Annual,Electricity + Gas,0
C00051,Tina Robinson,North,Monthly,Gas,0
C00052,Sam Wilson,South,Annual,Water,0
C00053,Tina Clark,West,Annual,Electricity + Water,0
C00054,Carol White,North,Monthly,Electricity + Water,1
C00055,Beth Thomas,West,Monthly,Electricity,0
C00056,Mia Moore,East,Annual,Water,0
C00057,Mia Davis,South,Monthly,Water,0
C00058,Adrian Anderson,West,Monthly,Electricity,1
C00059,Alice Moore,West,Annual,Water,0
C00060,Yara Garcia,South,2-Year,Electricity + Water,1
C00061,Diana Miller,West,Annual,Electricity + Gas,0
C00062,Iris Garcia,East,Annual,Gas,0
C00063,Yara Jones,South,2-Year,Electricity + Gas,0
C00064,Beth Brown,South,Annual,Electricity + Gas,0
C00065,Frank Moore,West,Annual,Gas,0
C00066,James Wilson,East,Monthly,Electricity + Water,1
C00067,Noah Jackson,East,Monthly,Water,0
C00068,Iris Taylor,East,2-Year,Electricity + Gas,1
C00069,Uma Wilson,East,Annual,Electricity + Gas,0
C00070,James Brown,Central,2-Year,Electricity + Water,1
C00071,Carol Thompson,West,Annual,Electricity + Gas,0
C00072,Fiona Lewis,Central,Monthly,Water,0
C00073,Grace Lewis,West,Annual,Gas,0
C00074,Adrian Jones,Central,Annual,Water,0
C00075,Paul Moore,South,Annual,Gas,0
C00076,Frank Lewis,South,Monthly,Gas,1
C00077,Yara Wilson,West,Annual,Gas,0
C00078,Olivia Miller,East,Monthly,Electricity + Water,0
C00079,Victor Davis,South,Annual,Gas,0
C00080,Iris Moore,West,Annual,Electricity + Gas,0
C00081,Diana Garcia,North,Annual,Electricity + Water,0
C00082,Xander Johnson,East,Monthly,Electricity + Gas,0
C00083,Xander Thompson,North,Annual,Electricity + Gas,0
C00084,Paul Davis,East,2-Year,Electricity + Gas,0
C00085,Paul Wilson,North,Monthly,Gas,1
C00086,Mia Johnson,North,Annual,Electricity,0
C00087,Paul Williams,East,Monthly,Water,0
C00088,Frank Anderson,East,Monthly,Electricity,1
C00089,Fiona Thomas,West,2-Year,Electricity + Gas,0
C00090,Bob Anderson,Central,Monthly,Electricity,1
C00091,Rachel Anderson,North,Monthly,Electricity + Gas,0
C00092,Diana Thomas,West,Monthly,Water,0
C00093,Rachel Harris,West,Annual,Gas,1
C00094,Victor White,East,Annual,Electricity,0
C00095,Zach Robinson,East,Annual,Water,1
C00096,Rachel Clark,East,2-Year,Water,0
C00097,Victor Miller,East,Monthly,Electricity + Water,1
C00098,Xander Davis,North,2-Year,Electricity + Water,0
C00099,Beth Anderson,East,Monthly,Water,0
C00100,Ethan Wilson,West,Monthly,Gas,1
C00101,Zach Thomas,Central,Monthly,Electricity + Water,0
C00102,Yara Williams,West,Annual,Electricity,0
C00103,Beth Miller,Central,Annual,Gas,0
C00104,Rachel Jones,South,Annual,Electricity + Water,0
C00105,Frank Garcia,North,Annual,Gas,0
C00106,Victor Moore,Central,Annual,Electricity + Water,0
C00107,Xander Smith,South,Monthly,Electricity + Gas,0
C00108,Alice Robinson,South,2-Year,Electricity + Water,0
C00109,Victor Lewis,North,Annual,Gas,0
C00110,Tina Martin,South,Monthly,Gas,1
C00111,Frank Taylor,South,Annual,Water,0
C00112,Liam Thomas,East,2-Year,Electricity + Gas,0
C00113,James Taylor,North,Annual,Gas,0
C00114,Xander Robinson,Central,Annual,Gas,0
C00115,Yara Thomas,East,2-Year,Gas,0
C00116,Tina White,South,2-Year,Electricity + Gas,0
C00117,Liam Brown,Central,Monthly,Electricity,0
C00118,Paul Smith,East,2-Year,Electricity + Gas,1
C00119,Diana Wilson,Central,2-Year,Electricity + Gas,0
C00120,Iris Davis,South,2-Year,Electricity + Water,0
C00121,Xander Robinson,South,Annual,Electricity,0
C00122,Henry Wilson,North,Monthly,Electricity + Water,0
C00123,Liam Thomas,North,Annual,Electricity + Water,1
C00124,Henry Moore,South,Annual,Gas,0
C00125,David Wilson,West,Monthly,Water,0
C00126,Mia Davis,Central,Annual,Electricity + Water,0
C00127,Karen Jackson,Central,Annual,Water,1
C00128,Henry Moore,South,Monthly,Electricity + Water,0
C00129,Uma Moore,East,Monthly,Electricity + Water,0
C00130,Noah Johnson,East,Annual,Electricity + Water,0
C00131,Cole Robinson,Central,Monthly,Electricity + Water,0
C00132,Adrian Davis,West,Annual,Electricity + Water,1
C00133,Diana Davis,East,Annual,Water,0
C00134,Grace Smith,East,Annual,Gas,0
C00135,Bob Thompson,Central,2-Year,Gas,0
C00136,Henry Harris,South,2-Year,Electricity + Gas,1
C00137,Wendy Garcia,North,Annual,Electricity + Water,0
C00138,James Brown,Central,2-Year,Electricity + Water,0
C00139,Frank Anderson,Central,Monthly,Water,1
C00140,Cole Williams,South,2-Year,Electricity + Gas,1
C00141,Rachel Taylor,East,Annual,Electricity,0
C00142,Karen Miller,North,2-Year,Electricity,1
C00143,Xander Wilson,Central,Annual,Electricity,0
C00144,Liam Jackson,West,Annual,Water,0
C00145,Diana Wilson,North,Annual,Electricity + Water,0
C00146,Rachel Clark,North,2-Year,Electricity + Water,0
C00147,Fiona Johnson,Central,2-Year,Electricity + Water,0
C00148,Henry Harris,East,Monthly,Electricity + Gas,0
C00149,Mia Clark,South,Annual,Electricity,0
C00150,Karen Clark,South,Annual,Water,0
C00151,Bob Martin,South,Monthly,Electricity + Water,0
C00152,Adrian Taylor,South,Monthly,Gas,0
C00153,James Davis,Central,2-Year,Electricity + Water,0
C00154,Cole White,East,Annual,Electricity + Water,0
C00155,Cole Jones,North,Monthly,Electricity + Water,0
C00156,Beth Thomas,East,Monthly,Electricity,1
C00157,Uma Jackson,Central,Monthly,Electricity + Water,1
C00158,Mia Miller,East,Monthly,Gas,0
C00159,Diana Smith,West,2-Year,Electricity + Gas,0
C00160,Henry Wilson,Central,Monthly,Electricity + Gas,0
C00161,David Clark,East,Annual,Water,0
C00162,Carol Clark,Central,2-Year,Water,1
C00163,Wendy Jones,West,Annual,Water,0
C00164,Cole Thompson,North,2-Year,Gas,0
C00165,Emma Smith,West,Monthly,Gas,1
C00166,Xander Taylor,Central,2-Year,Electricity,0
C00167,Carol Johnson,South,2-Year,Electricity + Gas,0
C00168,Bob Jones,East,Annual,Electricity + Water,0
C00169,Ethan Garcia,South,2-Year,Electricity + Water,0
C00170,Iris Williams,East,2-Year,Gas,0
C00171,Tina Garcia,East,2-Year,Electricity + Gas,0
C00172,Uma White,West,Annual,Water,0
C00173,Mia Brown,West,2-Year,Electricity + Water,0
C00174,Beth Smith,West,Monthly,Water,1
C00175,Tina Davis,East,Annual,Gas,0
C00176,Henry Miller,Central,2-Year,Electricity + Water,0
C00177,Zach Martin,North,2-Year,Electricity + Gas,0
C00178,Frank Harris,North,2-Year,Electricity + Water,0
C00179,Karen Johnson,South,Monthly,Electricity,1
C00180,Mia Brown,North,2-Year,Electricity,0
C00181,Mia Thomas,South,Annual,Electricity + Water,0
C00182,Wendy Anderson,West,2-Year,Electricity,0
C00183,James Martin,South,Annual,Water,0
C00184,Zach Garcia,West,Monthly,Electricity,1
C00185,Bob Lewis,North,Annual,Gas,0
C00186,Liam Robinson,Central,Annual,Water,0
C00187,Fiona Davis,West,Monthly,Gas,0
C00188,Wendy Jones,Central,Monthly,Water,0
C00189,Xander Lewis,West,Monthly,Electricity,1
C00190,Wendy Miller,East,Monthly,Gas,1
C00191,Paul Jones,East,Monthly,Gas,0
C00192,Karen Jones,South,Annual,Electricity + Gas,0
C00193,Cole Davis,East,Monthly,Gas,0
C00194,Mia Martin,East,Monthly,Water,1
C00195,Liam Smith,South,Annual,Electricity,0
C00196,Sam Anderson,South,Monthly,Gas,0
C00197,Ethan Davis,North,Monthly,Electricity,0
C00198,Wendy Davis,North,Monthly,Water,1
